Local ID,Member,Period,T0 Primary,T0 Secondary,Duration Primary,Duration Secondary,Depth Primary,Depth Secondary
139914081,Member B,15.79639,1333.6577,1328.3528,5.3,3.7,215,30
238558210,Member B,5.33767,2480.9301,2478.3446,4.8,5.2,33,33
274481742,Member B,1.76855,1818.7716,,2.6,,8,
32945664,Member B,3.131013,1468.8278,1470.3948,8,6,265,33
329089161,Member B,2.53727,1601.8241,1605.6315,3,3,22,14
458108996,Member B,1.46585,1571.8686,1575.5362,2.3,2.7,39,31
321474625,Member B,2.9414,1594.8276,2331.3546,7,7,40,28
33721975,Member B,6.56473,1548.3939,,4.9,4.5,185,169
43472931,Member B,1.48512,1443.958,,2.3,,31,
459705607,Member B,1.41315,1588.1158,1571.8498,3.7,3.6,76,62
354314226,Member B,1.842284,1792.3409,1793.266,3.5,3.2,48,28
36439758,Member B,8.21371,1469.2268,,8.8,,108,
134744873,Member B,28.434902,1492.6375,1513.6181,5.8,9,37,18
458606169,Member B,3.18115,1574.5709,1573.0541,4.8,4.4,105,64
429901945,Member B,4.410321,2492.05,,6,,143,
375036945,Member B,1.760009,1326.6081,,2,,38,
386414884,Member B,1.73739,1546.2069,,5.6,,20,
418699570,Member B,4.27026,1765.7385,,5.8,,82,
356318101,Member B,3.25779,1986.9872,1985.3578,6.4,6.6,104,67
128802666,Member B,4.861793,1492.6553,1496.4357,5.8,5.5,55,45
80893927,Member B,3.86467,2474.582,,4.2,,18,
74919381,Member B,4.50122,2478.4538,2494.3259,4.9,5.8,33,13
371583423,Member B,2.05361,1741.7866,,3.2,,17,
285853156,Member B,10.025904,2481.6118,2487.6573,5.3,4,215,32
293442412,Member B,2.875972,1558.9505,,4.8,,18,
140241924,Member B,4.38292,1561.2557,,3.1,,51,
346000664,Member B,7.0909,1767.8761,,3,,27,
407060024,Member B,5.837531,1767.7181,1769.7961,7.7,8.4,118,58
284806955,Member B,2.457516,1766.5644,1770.3295,3.4,2.9,16,14
202664216,Member B,4.00757,1767.3149,1765.3145,3.5,3.5,83,57
120911334,Member B,2.45358,1819.2211,1820.4551,3.2,4.5,139,115
144686626,Member B,16.70987,1495.8947,1505.5246,8,8,123,115
273919067,Member B,3.1915,1754.0996,,2.9,,43,
121511673,Member B,3.78717,1820.2514,1818.3643,6.1,5.6,113,81
466187603,Member B,3.821439,1575.6413,1578.0985,6,7,51,48
29046597,Member B,3.09506,1520.733,1525.3011,4.3,4,142,63
262755078,Member B,26.763631,1497.0643,1508.5554,6.3,10,230,113
144475902,Member B,3.428724,1494.9261,1493.2099,7.7,7.3,86,57
140328928,Member B,2.695947,1493.2241,1494.5833,3.5,3.4,10,10
38542448,Member B,7.098776,2161.1556,2150.022,2.8,6,82,20
274862252,Member B,2.9531,2363.6153,2364.6835,5,6,17,13
58539786,Member B,29.237768,1820.662,,7.5,,52,
278142612,Member B,4.89234,1416.5203,,2.5,,8,
130533284,Member B,3.10454,1497.539,,3,,9,
153406662,Member B,8.863059,1473.2919,,3,,5,
160514618,Member B,6.94858,1717.5592,1714.083,9.5,9.9,151,102
384410712,Member B,2.97684,1687.381,1685.8871,5.5,5.7,54,41
265684107,Member B,9.966947,1824.0465,1819.2599,11.3,3.9,108,105
240256832,Member B,3.637768,1713.3235,1718.798,4.5,4.3,91,20
470397849,Member B,4.87275,1819.0791,1821.5178,5.7,5.7,42,39
387288959,Member B,83.096326,1740.3778,1959.7415,8,17.5,250,220
50198590,Member B,3.16401,1798.2879,1790.9483,4.4,7.2,317,306
405114468,Member B,12.509848,2253.8737,2233.1056,8.2,7.3,127,95
127011022,Member B,2.268855,1494.3224,1495.4529,2.5,2.4,12,11
261940513,Member B,3.40202,2206.9388,2208.6346,4.7,4.1,70,34
125583594,Member B,5.59752,1497.8419,1495.1178,8.2,7.3,32,6
266395331,Member B,5.23956,1820.2108,,5.4,,9,
358422952,Member B,3.07565,1716.617,2798.1232,3.9,3.6,53,19
150055835,Member B,13.78416,2477.5808,1823.6797,7,6.7,41,23
146435300,Member B,7.70559,1442.6554,1440.4826,1.8,,12,
320233974,Member B,5.301634,1574.7865,1587.9766,6.6,6.8,54,21
140593601,Member B,4.63501,1525.2702,1521.883,9.7,5.2,11,9
47279366,Member B,42.184444,2504.4389,2175.311,13.7,5.6,213,105
54577663,Member B,10.326957,2477.2997,2482.6098,8,8,63,49
139621206,Member B,34.17293,1544.8456,,6.2,,6,
459333241,Member B,3.98858,1574.7197,2302.6654,5.8,5.9,29,5
37376063,Member B,14.53414,1521.7792,1528.598,7.5,7,136,100
337346017,Member B,5.739507,1661.5538,1664.3272,3,2.5,65,49
304713857,Member B,9.082787,1688.7956,1684.294348,4.2,4,107,93
409682934,Member B,13.49432,2232.6629,2231.8401,4.1,4.7,54,52
93373156,Member B,8.556189,1469.1004,,3.5,2,90,
170146066,Member B,18.274146,1646.6103,1631.1613,4.2,3.8,90,50
191283915,Member B,10.5971,1779.9966,1785.3146,4.6,5,7,3
459400252,Member B,8.41458,2284.0443,2286.2908,3.7,6.8,27,13
300987891,Member B,5.63289,1708.7403,,10.3,14,80,80
60584909,Member B,25.98125,1473.0291,1485.2978,8.5,8.6,105,72
125787704,Member B,7.69167,1497.7007,1501.2864,5.5,5.1,44,19
59453672,Member B,8.357583,2503.3769,2507.5753,3.5,3.4,36,27
78333248,Member B,11.38076,2482.811,,6,,29,
370274336,Member B,-999,1805.3268,1810.7555,5.7,9.8,122,93
308731030,Member B,11.167042,1617.0041,1622.5437,4,4,44,38
219006972,Member B,13.6389,1686.2833,1692.979,6.3,6.3,312,275
384735219,Member B,8.94046,1798.8181,1794.3091,7.2,7.1,119,66
244279814,Member B,9.1205,1442.8405,1447.5755,4.2,,28,
382182610,Member B,11.78085534,2047.690331,2041.7416,4.5,4,28,12
53158069,Member B,14.49556,1469.3138,,5.3,,93,
417752064,Member B,15.079816,1778.8615,1805.476,4.8,9,246,174
430745185,Member B,10.71396,1742.4694,1757.2317,6.1,6.2,64,23
231595025,Member B,19.6682,2248.5616,2275.7342,8.2,7,137,78
91600053,Member B,35.02051,1488.333,2208.3315,11,11.6,52,25
779824,Member B,-999,2984.2063,2250.2018,9.5,9.5,67,20
270360534,Member B,-999,2024.8801,1989.2459,9.2,11.4,,
